_id,cur_val
68a4d7cecdcb576ac3090d4e,61407.11
68a4d7cfcdcb576ac3090d62,99370.35
68a4d7cfcdcb576ac3090d63,42956.05
68a4d7cecdcb576ac3090d57,161004.87
68a4d7cfcdcb576ac3090d77,105048.07
68a4d7cecdcb576ac3090d58,250933.96
68a4d7cecdcb576ac3090d56,129256.2
68a4d7cecdcb576ac3090d53,74126.31
68a4d7cecdcb576ac3090d55,61735.89
68a4d7cecdcb576ac3090d54,77559.04
68a4d7cecdcb576ac3090d5b,187476.1
68a4d7cecdcb576ac3090d5c,88471.74
68a4d7cecdcb576ac3090d5d,1258.58
68a4d7cecdcb576ac3090d60,44355.3
68a4d7cecdcb576ac3090d5f,976.69
68a4d7cecdcb576ac3090d61,44901.6
68a4d7d1cdcb576ac3090eac,6957
68a4d7c6cdcb576ac3090a9e,3387.62
68a4d7c5cdcb576ac3090a95,5921.01
68a4d7cecdcb576ac3090d5e,1.27
68a4d7cfcdcb576ac3090d83,90566.59
68a4d7cfcdcb576ac3090d82,492301.96
68a4d7cfcdcb576ac3090d64,1357676.17
68a4d7cfcdcb576ac3090d65,130947.41
68a4d7cfcdcb576ac3090d66,130947.41
68a4d7cbcdcb576ac3090c61,1725014.52
68a4d7cfcdcb576ac3090d6e,5731.67
68a4d7cfcdcb576ac3090d68,5232.67
68a4d7cfcdcb576ac3090d67,5554.73
68a4d7cfcdcb576ac3090d6b,5418.45
68a4d7c5cdcb576ac3090a98,5291.45
68a4d7cfcdcb576ac3090d6a,5465.34
68a4d7cfcdcb576ac3090d69,5263.26
68a4d7cfcdcb576ac3090d6c,5060.2
68a4d7cfcdcb576ac3090d6d,5117.64
68a4d7c5cdcb576ac3090a9c,5486.47
68a4d7c6cdcb576ac3090a9d,5412
68a4d7c5cdcb576ac3090a99,5483.94
68a4d7c5cdcb576ac3090a9a,5334.96
68a4d7c5cdcb576ac3090a9b,5574.26
68a4d7cfcdcb576ac3090d72,6328.66
68a4d7cfcdcb576ac3090d73,106.3
68a4d7cfcdcb576ac3090d74,23689.26
68a4d7cfcdcb576ac3090d75,91323.97
68a4d7cfcdcb576ac3090d76,106.3
68a4d7d3cdcb576ac3090f83,1169337.69
68a4d7d3cdcb576ac3090f82,744487.33
68a4d7cfcdcb576ac3090d78,14546.68
68a4d7cfcdcb576ac3090d79,74477.92
68a4d7c6cdcb576ac3090aa2,137032.76
68a4d7cfcdcb576ac3090d80,3058.88
68a4d7cfcdcb576ac3090d81,806905.83
68a4d7c6cdcb576ac3090aa4,429311.91
68a4d7cfcdcb576ac3090d84,1040231.06
68a4d7cfcdcb576ac3090d85,9699.22
68a4d7cfcdcb576ac3090d88,393463.91
68a4d7cfcdcb576ac3090d89,62984.15
68a4d7cfcdcb576ac3090d8a,100187.72
68a4d7c6cdcb576ac3090aa6,8992.7
68a4d7cfcdcb576ac3090d8b,4776.53
68a4d7c6cdcb576ac3090aa7,8003.02
68a4d7c6cdcb576ac3090aa5,0
68a4d7c6cdcb576ac3090aa8,199717.58
68a4d7c6cdcb576ac3090aa9,25201.35
68a4d7c6cdcb576ac3090aaa,7663.57
68a4d7cfcdcb576ac3090d8c,28727.92
68a4d7c6cdcb576ac3090aab,46003.29
68a4d7cfcdcb576ac3090d8e,76451.32
68a4d7c6cdcb576ac3090aac,68758.29
68a4d7cfcdcb576ac3090d8f,109165.66
68a4d7cfcdcb576ac3090d99,270498.55
68a4d7d2cdcb576ac3090eda,843208.21
68a4d7c6cdcb576ac3090aaf,606.63
68a4d7c6cdcb576ac3090ab0,0
68a4d7c7cdcb576ac3090b31,702652.17
68a4d7d0cdcb576ac3090e6a,938852.62
68a4d7c6cdcb576ac3090aad,41436.54
68a4d7cfcdcb576ac3090d9a,56936.78
